"","forecastedValues2015","actualValues2015","lower95CI","upper95CI","Date"
"1",2020.44531718893,2028.592499,1953.67625874407,2087.21437563379,2015-01-01
"2",2026.94278313655,2050.415039,1902.84935165381,2151.0362146193,2015-02-01
"3",2033.44024908418,2082.582459,1871.14344594649,2195.73705222187,2015-03-01
"4",2039.9377150318,2081.859925,1846.853989979,2233.0214400846,2015-04-01
"5",2046.43518097942,2099.35492,1826.83919410395,2266.0311678549,2015-05-01
"6",2052.93264692705,2089.485046,1809.69722593873,2296.16806791537,2015-06-01
"7",2059.43011287467,2086.920044,1794.65748854407,2324.20273720527,2015-07-01
"8",2065.92757882229,2014.084992,1781.24246300753,2350.61269463706,2015-08-01
"9",2072.42504476992,1945.722504,1769.13197241577,2375.71811712406,2015-09-01
"10",2078.92251071754,1996.757538,1758.09894501582,2399.74607641926,2015-10-01
"11",2085.41997666516,2074.259979,1747.97541398691,2422.86453934342,2015-11-01
"12",2091.91744261279,2056.099976,1738.63298859214,2445.20189663343,2015-12-01
