"","x"
"1",0.458553505107759
"2",7.26977329095686
"3",4.87176159321608
"4",4.81144727507012
"5",6.98277511483298
"6",4.88895841937791
"7",5.88099439325455
"8",-2.63095909202934
"9",8.69778215852078
"10",-3.03148703774349
"11",7.98766873291231
"12",7.25880322239409
"13",-1.40362191987995
"14",17.1107439814862
"15",-17.4660195917694
"16",7.22183357393045
"17",3.06403855808537
"18",3.21477093877876
"19",-29.5877968985956
"20",14.6180488573397
"21",3.04468607748843
"22",21.3741465455899
"23",14.528416957503
"24",-2.29277519287808
"25",14.1442456953447
"26",14.5631470356646
"27",-27.2165830991163
"28",5.00944089402454
"29",40.5726460604046
"30",13.9990196967211
"31",37.257292543421
"32",-21.4850961743318
"33",6.08487244709074
"34",-11.3602603635506
"35",9.70490386214316
"36",13.5017467676557
"37",-9.48730019007519
"38",51.174769715256
"39",20.9484410623921
"40",13.1798328692681
"41",-18.0121234877403
"42",14.3171838266726
"43",13.9419503944106
"44",-115.14760470756
"45",20.5559901478256
"46",21.9833446582724
"47",83.2968075048548
"48",-1.95948554756592
"49",50.2145730883022
"50",-32.0793845394677
"51",26.4180846960591
"52",30.5635946378291
"53",-21.1021621571944
"54",15.6246840830964
"55",15.7365151981894
"56",-53.2946219194332
"57",7.00093533392442
"58",-2.35780746725663
"59",63.2167421371228
"60",3.95621801649918
"61",-15.12061909257
"62",-37.0459217396626
"63",75.2529339295743
"64",-38.927415267385
"65",-7.5816707715519
"66",15.9370578773792
"67",-7.80281192840835
"68",19.4253949749243
"69",-16.7799158079592
"70",-64.9869747939883
"71",-3.29157257432644
"72",-53.8123905009062
"73",43.5338820461845
"74",-69.3544467615197
"75",-75.6270866035608
"76",45.9973295806848
"77",36.292836318017
"78",-49.1203370470633
"79",-8.04989253612302
"80",-37.305446060521
"81",-88.4052036853623
"82",39.149093460344
"83",14.6732119775403
"84",24.6857840526473
"85",-30.8452012515481
"86",-10.9073061036886
"87",24.0292780511051
"88",-45.5445318300334
"89",-12.0257477340441
"90",-53.3564206480211
"91",-75.4886270766162
"92",28.9997832197087
"93",-66.4418157088513
"94",15.1918258974943
"95",49.3848315359421
"96",-35.3398471377618
"97",-16.5297313247926
"98",-31.6256229826741
"99",15.0144543410851
"100",25.5512315495083
"101",31.1983732829821
"102",16.9205705303585
"103",-10.0567742039696
"104",7.14449693771803
"105",5.73402609450801
"106",5.93766164570917
"107",17.1901143695821
"108",16.5327856370935
"109",25.7088682802453
"110",-7.78598659240004
"111",-10.699958107321
"112",-6.98055695891696
"113",-16.524541374913
"114",26.4386641791008
"115",-36.9791027865436
"116",-4.74058217337057
"117",15.2124245834595
"118",-8.44031798053908
"119",34.9293009301913
"120",11.7395331357395
"121",-13.7201649471898
"122",3.31152705097901
"123",-8.34472303426776
"124",-28.7493359002679
"125",18.8157074040018
"126",6.60946440758482
"127",5.82011653174737
"128",2.23977433280703
"129",-8.3240634048376
"130",-15.9470505408395
"131",26.509057297276
"132",0.717691291501467
"133",5.77809453169749
"134",1.18559315242049
"135",4.00581291565055
"136",5.93641973097897
"137",-24.5516459969033
"138",-16.5469779995316
"139",4.53249003475594
"140",15.9004744745668
"141",14.3596991639074
"142",25.0507606268878
"143",7.86072836954884
"144",11.5317528520781
"145",3.21986752129737
"146",-9.50593585972854
"147",-16.4512687149754
"148",50.8736809915789
"149",14.6808792663073
"150",-6.64387526688324
"151",-24.0713174663366
"152",-32.8170045700372
"153",57.9285365236631
"154",-0.671346994861665
"155",-46.456419496018
"156",4.63169615502829
"157",-88.5553739013114
"158",6.8012768072407
"159",-48.2177153975964
"160",66.3932946391636
"161",-7.07939755093628
"162",-62.6438384621881
"163",-47.2729539350958
"164",42.0781506483802
"165",-94.1329679629977
"166",-129.163609891382
"167",-58.2545583249486
"168",8.0192001593249
"169",-23.2631013153618
"170",-69.0357707789633
"171",1.27469322959161
"172",71.0260794466528
"173",12.8231904863382
"174",11.0118755409145
"175",8.90166245976798
"176",52.1699884889016
"177",-8.05515769377
"178",14.8753221612
"179",0.489208472398566
"180",32.5509099884282
"181",-30.4300133947018
"182",-6.59973416705819
"183",54.4440564197902
"184",7.46586638662043
"185",-66.7057817729371
"186",-26.613591637065
"187",7.09664511707679
"188",4.9584341833891
"189",8.96145120038021
"190",52.7433042904582
"191",-10.487235776612
"192",32.221303766246
"193",26.8674218006441
"194",13.8925862451845
"195",-17.9672972297475
"196",34.1771389716901
"197",-16.8711511469164
"198",-26.5534761059827
"199",6.09978344353183
"200",-92.7044231904404
"201",-5.65335195953543
"202",11.950428163839
"203",32.2253108857778
"204",-15.2625708865337
"205",50.2162358484748
"206",14.4245993947509
"207",26.3809927706266
"208",-9.04619599689138
"209",-43.1011392209863
"210",-7.84115534983223
"211",37.9638948573679
"212",-2.1989896795515
"213",33.1192164996879
"214",-24.0765143785397
"215",-21.5338142563971
"216",27.889752488753
"217",19.8272936369623
"218",23.9083457415507
"219",11.0472151382162
"220",23.402452862055
"221",28.7354072335867
"222",-34.6995430189763
"223",51.9020984865098
"224",-22.69814612098
"225",13.2547680098656
"226",30.8343474305994
"227",40.9766002911181
"228",5.86344676506468
